can_nam,year,label,can_par_aff,can_inc_cha_ope_sea,dem_per,gop_per,ind_con,tot_con,tot_rec,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,tot_rec_final,cov_sta,cov_end
"Takano, Mark",2012,CA-41,DEM,OPEN,57.6,42.4,127890.6,187431.07,197782.07,225864.35,273919.08,245836.8,1461798.23,2012-05-17 00:00:00,2012-06-30 00:00:00
"Takano, Mark",2014,CA-41,DEM,INCUMBENT,56.0,44.0,79038.94,113042.08,113042.08,74529.41,355096.68,393609.35,1328194.23,2014-05-15 00:00:00,2014-06-30 00:00:00
"Tavaglione, John F",2012,CA-41,REP,OPEN,57.6,42.4,74673.12,160173.12,160173.12,99354.06,391172.04,451991.1,1396014.74,2012-05-17 00:00:00,2012-06-30 00:00:00
"Sheridan, Timothy J",2014,CA-42,DEM,CHALLENGER,34.1,65.9,2860.0,9282.17,9282.17,3410.02,20222.03,26094.18,119068.62,2014-05-15 00:00:00,2014-06-30 00:00:00
"Calvert, Ken",2014,CA-42,REP,INCUMBENT,34.1,65.9,50875.0,148075.0,148284.4,88904.08,680086.74,739467.06,1192965.24,2014-05-15 00:00:00,2014-06-30 00:00:00
"Richardson, Laura",2012,CA-44,DEM,INCUMBENT,39.9,60.1,32060.0,58560.0,58560.14,58217.82,13695.22,14037.54,616269.82,2012-05-17 00:00:00,2012-06-30 00:00:00
"Hahn, Janice",2012,CA-44,DEM,INCUMBENT,39.9,60.1,80663.0,98663.0,98663.0,158368.87,87022.69,27316.82,2521898.96,2012-05-17 00:00:00,2012-06-30 00:00:00
"Leavens, Drew Eugene",2014,CA-45,DEM,CHALLENGER,34.8,65.2,11744.88,13944.88,16454.21,9204.21,11546.1,18796.1,125966.08,2014-05-15 00:00:00,2014-06-30 00:00:00
"Walters, Mimi",2014,CA-45,REP,OPEN,34.8,65.2,32393.76,104493.76,110607.94,134722.27,165928.73,141814.4,1430178.62,2014-05-15 00:00:00,2014-06-30 00:00:00
"Kang, Sukhee",2012,CA-45,DEM,CHALLENGER,40.9,59.1,53776.0,54126.0,55799.0,32406.82,212502.88,235895.06,754719.23,2012-05-17 00:00:00,2012-06-30 00:00:00
"Campbell, John Bt Iii",2012,CA-45,REP,INCUMBENT,40.9,59.1,48362.22,115362.22,117161.74,62487.44,986577.65,1041251.95,1295137.64,2012-05-17 00:00:00,2012-06-30 00:00:00
"Hayden, Gerard P",2012,CA-46,REP,CHALLENGER,61.8,38.2,10193.0,10193.0,10193.0,15415.9,17818.99,12596.09,133602.07,2012-05-17 00:00:00,2012-06-30 00:00:00
"Sanchez, Loretta",2012,CA-46,DEM,INCUMBENT,61.8,38.2,97434.4,171384.4,175246.67,23444.93,922744.27,1074546.01,1682794.42,2012-05-17 00:00:00,2012-06-30 00:00:00
"Whallon, Andrew",2014,CA-47,REP,CHALLENGER,55.2,44.8,830.0,830.0,12330.0,11178.86,1992.31,3143.45,60080.63,2014-05-16 00:00:00,2014-06-30 00:00:00
"Lowenthal, Alan",2012,CA-47,DEM,CHALLENGER,55.3,44.7,31318.04,91318.04,91318.04,110400.69,236019.17,216936.52,1213336.82,2012-05-17 00:00:00,2012-06-30 00:00:00
"Delong, Gary",2012,CA-47,REP,CHALLENGER,55.3,44.7,140638.32,232138.32,232138.32,233857.67,318629.49,316910.14,1439650.91,2012-05-17 00:00:00,2012-06-30 00:00:00
"Lowenthal, Alan",2014,CA-47,DEM,INCUMBENT,55.2,44.8,8205.0,78205.0,78205.0,39354.32,327011.06,365886.74,823270.27,2014-05-15 00:00:00,2014-06-30 00:00:00
"Savary, Suzanne Joyce",2014,CA-48,DEM,CHALLENGER,35.8,64.2,17335.0,18325.0,18325.0,26670.38,25714.83,17369.45,114509.11,2014-05-15 00:00:00,2014-06-30 00:00:00
"Rohrabacher, Dana",2014,CA-48,REP,INCUMBENT,35.8,64.2,175135.0,178135.0,178135.0,75288.17,216014.3,318861.13,801570.59,2014-05-15 00:00:00,2014-06-30 00:00:00
"Tetalman, Jerry",2012,CA-49,DEM,CHALLENGER,41.2,58.8,5791.25,5791.25,6201.25,6597.47,6664.6,6268.38,136167.65,2012-05-17 00:00:00,2012-06-30 00:00:00
"Peiser, Dave",2014,CA-49,DEM,CHALLENGER,39.8,60.2,14160.0,15160.0,15464.0,10490.15,11286.55,16260.4,94234.87,2014-05-15 00:00:00,2014-06-30 00:00:00
"Issa, Darrell ",2012,CA-49,REP,INCUMBENT,41.2,58.8,86793.51,214793.51,231604.81,194166.31,1125583.77,1163022.27,2478710.48,2012-05-17 00:00:00,2012-06-30 00:00:00
"Issa, Darrell",2014,CA-49,REP,INCUMBENT,39.8,60.2,133587.19,186952.74,326193.56,154270.13,3201744.24,3373667.67,3750000.87,2014-05-15 00:00:00,2014-06-30 00:00:00
"Loftin, Joseph R",2012,CA-5,REP,CHALLENGER,74.2,25.8,1580.0,1580.0,1758.0,3977.08,7285.44,5066.36,14777.0,2012-05-17 00:00:00,2012-06-30 00:00:00
"Thompson, Mike Mr.",2012,CA-5,DEM,INCUMBENT,74.2,25.8,59304.99,206750.86,208265.31,69118.1,1161628.23,1300775.44,1811426.04,2012-05-17 00:00:00,2012-06-30 00:00:00
"Kimber, James Harvey",2014,CA-50,DEM,CHALLENGER,28.6,71.4,2043.0,7043.0,7070.84,4382.25,1563.55,4252.14,40745.46,2014-05-15 00:00:00,2014-06-30 00:00:00
"Hunter, Duncan D.",2014,CA-50,REP,INCUMBENT,28.6,71.4,47005.0,156829.72,158665.46,75913.4,424426.08,507178.14,1269096.3,2014-05-15 00:00:00,2014-06-30 00:00:00
"Crimmins, Michael ",2012,CA-51,REP,OPEN,70.0,30.0,11210.0,11210.0,11810.0,2957.5,1510.83,10363.33,28074.34,2012-04-01 00:00:00,2012-06-30 00:00:00
"Vargas, Juan C.",2012,CA-51,DEM,OPEN,70.0,30.0,69456.0,171206.0,171242.75,188847.22,67432.28,49827.81,1075806.23,2012-05-17 00:00:00,2012-06-30 00:00:00
"Peters, Scott",2012,CA-52,DEM,CHALLENGER,50.5,49.5,169141.0,217641.0,217641.0,499001.61,370393.07,89032.46,4381438.01,2012-05-17 00:00:00,2012-06-30 00:00:00
"Bilbray, Brian Phillip",2012,CA-52,REP,INCUMBENT,50.5,49.5,100850.0,290600.0,291900.0,244293.21,784482.21,832089.0,2659541.26,2012-05-17 00:00:00,2012-06-30 00:00:00
"Demaio, Carl",2014,CA-52,REP,CHALLENGER,51.6,48.4,312716.72,429216.72,454797.92,194697.47,1171475.79,1431576.24,3412768.79,2014-05-15 00:00:00,2014-06-30 00:00:00
"Peters, Scott",2014,CA-52,DEM,INCUMBENT,51.6,48.4,293083.09,553259.89,554398.69,145841.04,1523928.57,1932486.22,4544000.52,2014-05-15 00:00:00,2014-06-30 00:00:00
"Popaditch, Nicholas Allen",2012,CA-53,REP,CHALLENGER,60.6,39.4,6556.0,6556.0,6556.0,6570.52,5154.37,5139.85,114985.18,2012-05-17 00:00:00,2012-06-30 00:00:00
"Wilske, Larry Albert",2014,CA-53,REP,CHALLENGER,58.7,41.3,5575.0,6575.0,111575.0,19517.49,14853.66,106911.17,203567.91,2014-05-15 00:00:00,2014-06-30 00:00:00
"Davis, Susan",2014,CA-53,DEM,INCUMBENT,58.7,41.3,26495.0,71504.1,71504.1,21518.3,270380.22,320366.02,610238.34,2014-05-15 00:00:00,2014-06-30 00:00:00
"Davis, Susan A",2012,CA-53,DEM,INCUMBENT,60.6,39.4,38710.29,74660.29,74788.88,37880.99,405086.77,441994.66,647371.55,2012-05-17 00:00:00,2012-06-30 00:00:00
"Ose, Doug",2014,CA-7,REP,CHALLENGER,50.4,49.6,141429.0,228484.7,332785.66,343298.89,214334.14,203820.91,8586011.0,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lungren, Daniel E.",2012,CA-7,REP,INCUMBENT,50.8,49.2,126661.9,286611.9,292761.9,66432.45,930380.35,1156709.8,2702536.36,2012-05-17 00:00:00,2012-06-30 00:00:00
"Bera, Amerish",2012,CA-7,DEM,CHALLENGER,50.8,49.2,230207.12,335783.15,337760.43,61698.58,1163103.12,1439164.97,3664781.6,2012-05-17 00:00:00,2012-06-30 00:00:00
"Bera, Amerish",2014,CA-7,DEM,INCUMBENT,50.4,49.6,265287.73,438933.69,439933.69,71635.29,1597921.5,1966219.9,4400563.34,2014-05-15 00:00:00,2014-06-30 00:00:00
"Imus, Gregg",2012,CA-8,REP,OPEN,57.6,42.4,7879.99,7879.99,7879.99,10301.77,4752.92,2331.14,118844.1,2012-05-17 00:00:00,2012-06-30 00:00:00
"Cook, Paul",2012,CA-8,REP,CHALLENGER,57.6,42.4,20678.0,42677.0,42677.0,52762.18,39018.9,28933.72,610014.28,2012-05-17 00:00:00,2012-06-30 00:00:00
"Amador, Antonio Candia",2014,CA-9,REP,CHALLENGER,52.2,47.8,10530.0,10530.0,10530.0,7507.72,10233.93,13256.21,63729.6,2014-05-15 00:00:00,2014-06-30 00:00:00
"Mcnerney, Jerry",2014,CA-9,DEM,INCUMBENT,52.2,47.8,57185.66,103692.09,104231.76,50781.68,390667.06,444117.14,1224433.6,2014-05-15 00:00:00,2014-06-30 00:00:00
"Gill, Ricky",2012,CA-9,REP,CHALLENGER,54.7,45.3,248615.98,383914.98,395271.93,83105.72,708410.44,1020576.65,2977717.26,2012-05-17 00:00:00,2012-06-30 00:00:00
"Mcnerney, Jerry",2012,CA-9,DEM,INCUMBENT,54.7,45.3,151204.87,245418.85,248204.13,41295.42,925928.56,1132837.27,2532626.42,2012-05-17 00:00:00,2012-06-30 00:00:00
"Walsh, Martin H",2014,CO-1,REP,CHALLENGER,65.7,29.2,921.65,921.65,921.65,620.97,2262.39,2563.07,16324.67,2014-06-05 00:00:00,2014-06-30 00:00:00
"Degette, Diana L.",2014,CO-1,DEM,INCUMBENT,65.7,29.2,20811.0,75661.0,75666.65,113518.18,111874.78,74023.25,1026745.17,2014-06-05 00:00:00,2014-06-30 00:00:00
"Lundberg, Kevin",2012,CO-2,REP,CHALLENGER,56.0,38.6,9785.52,10785.52,10885.52,10040.14,13193.78,14039.16,282435.86,2012-06-07 00:00:00,2012-06-30 00:00:00
"Leing, George",2014,CO-2,REP,CHALLENGER,56.5,43.5,20223.0,20223.0,20223.0,9252.49,96630.21,107600.72,363465.97,2014-06-05 00:00:00,2014-06-30 00:00:00
"Polis, Jared",2012,CO-2,DEM,INCUMBENT,56.0,38.6,34394.2,59470.46,59502.94,47137.73,335059.79,347425.0,1149923.96,2012-06-07 00:00:00,2012-06-30 00:00:00
"Polis, Jared",2014,CO-2,DEM,INCUMBENT,56.5,43.5,12724.78,12801.04,12803.08,45445.07,425213.68,392571.69,1193195.63,2014-06-05 00:00:00,2014-06-30 00:00:00
"Tapia, Abel J",2014,CO-3,DEM,CHALLENGER,35.7,58.1,27996.5,34996.5,34996.5,16804.13,73978.42,92170.79,295736.35,2014-06-05 00:00:00,2014-06-30 00:00:00
"Pace, Salvatore Ii",2012,CO-3,DEM,CHALLENGER,41.1,53.5,113619.33,191819.33,197398.33,22733.38,614433.73,789098.68,1953913.33,2012-06-07 00:00:00,2012-06-30 00:00:00
"Tipton, Scott R.",2014,CO-3,REP,INCUMBENT,35.7,58.1,57189.62,122399.62,122399.62,59540.58,719793.65,782652.69,1308463.15,2014-06-05 00:00:00,2014-06-30 00:00:00
"Tipton, Scott R.",2012,CO-3,REP,INCUMBENT,41.1,53.5,132157.6,203559.05,203559.05,50929.21,928215.09,1080844.93,2342228.83,2012-06-07 00:00:00,2012-06-30 00:00:00
"Shaffer, Brandon",2012,CO-4,DEM,CHALLENGER,36.7,58.6,62530.18,79780.18,79786.32,32852.59,223764.93,270698.66,905776.2,2012-06-07 00:00:00,2012-06-30 00:00:00
"Gardner, Cory",2012,CO-4,REP,INCUMBENT,36.7,58.6,60271.68,184271.68,184271.68,42728.25,883219.29,1024762.72,2320196.2,2012-06-07 00:00:00,2012-06-30 00:00:00
"Lamborn, Douglas L",2014,CO-5,REP,INCUMBENT,40.2,59.8,11538.0,70538.0,70538.0,155899.1,200224.92,114863.82,590021.76,2014-06-05 00:00:00,2014-06-30 00:00:00
"Halter, Irving Leslie Jr",2014,CO-5,DEM,CHALLENGER,40.2,59.8,64616.21,69217.21,69217.42,14872.18,264695.93,319041.17,834943.42,2014-06-05 00:00:00,2014-06-30 00:00:00
"Miklosi, Joe",2012,CO-6,DEM,CHALLENGER,45.1,48.7,101393.67,163470.41,163470.41,43074.23,399149.55,519545.73,1711957.76,2012-06-07 00:00:00,2012-06-30 00:00:00
"Coffman, Michael",2012,CO-6,REP,INCUMBENT,45.1,48.7,148128.0,276628.0,276628.0,22848.84,1586172.86,1839952.02,3441282.7,2012-06-07 00:00:00,2012-06-30 00:00:00
"Coffman, Michael",2014,CO-6,REP,INCUMBENT,42.9,52.0,269477.94,393777.94,405083.53,83705.27,1966835.53,2288213.79,4725822.09,2014-06-05 00:00:00,2014-06-30 00:00:00
"Romanoff, Andrew",2014,CO-6,DEM,CHALLENGER,42.9,52.0,357798.68,376674.68,376684.61,52263.52,2351001.33,2675422.42,5145369.66,2014-06-05 00:00:00,2014-06-30 00:00:00
"Ytterberg, Donald G W",2014,CO-7,REP,CHALLENGER,54.9,45.1,4568.75,4568.75,24568.75,18182.14,96062.06,102448.67,300239.48,2014-06-05 00:00:00,2014-06-30 00:00:00
"Coors, Joseph Jr",2012,CO-7,REP,CHALLENGER,53.3,41.2,123153.78,243510.4,243510.4,350796.59,227792.26,120506.07,4839422.43,2012-06-07 00:00:00,2012-06-30 00:00:00
"Perlmutter, Edwin G",2014,CO-7,DEM,INCUMBENT,54.9,45.1,61059.35,137059.35,139228.77,94953.86,819138.42,863413.33,2046461.76,2014-06-05 00:00:00,2014-06-30 00:00:00
"Perlmutter, Edwin G",2012,CO-7,DEM,INCUMBENT,53.3,41.2,87772.0,211772.0,211865.74,26350.56,926213.72,1111728.9,2970375.65,2012-06-07 00:00:00,2012-06-30 00:00:00
"Decker, John Henry",2012,CT-1,REP,CHALLENGER,69.6,27.8,10550.0,11550.0,11550.0,6122.3,6068.9,11496.6,69700.0,2012-04-29 00:00:00,2012-06-30 00:00:00
"Larson, John B",2012,CT-1,DEM,INCUMBENT,69.6,27.8,163550.61,419150.61,420631.14,302301.04,358818.07,477148.17,2018561.37,2012-04-25 00:00:00,2012-06-30 00:00:00
"Larson, John B",2014,CT-1,DEM,INCUMBENT,62.2,36.1,100318.0,273086.72,273685.83,149412.86,449610.51,573883.48,1880375.76,2014-04-25 00:00:00,2014-06-30 00:00:00
"Corey, Matthew M",2014,CT-1,REP,CHALLENGER,62.2,36.1,2630.15,6630.15,6645.15,1881.66,0.0,4763.49,32290.76,2013-07-24 00:00:00,2014-06-30 00:00:00
"Cavanagh, Lori Hopkins",2014,CT-2,REP,CHALLENGER,62.3,35.6,6091.56,12091.56,12091.56,14259.35,49793.77,47625.98,93338.44,2014-04-27 00:00:00,2014-06-30 00:00:00
"Courtney, Joseph D",2012,CT-2,DEM,INCUMBENT,68.3,29.3,104254.39,210915.39,211204.59,101137.55,816057.12,926124.16,1520758.75,2012-04-25 00:00:00,2012-06-30 00:00:00
"Courtney, Joseph D",2014,CT-2,DEM,INCUMBENT,62.3,35.6,61262.5,137712.5,137980.95,125485.12,908555.53,921051.36,1396008.17,2014-04-25 00:00:00,2014-06-30 00:00:00
"Formica, Paul M.",2012,CT-2,REP,CHALLENGER,68.3,29.3,29007.12,31211.08,31211.08,12776.36,0.0,18434.72,123851.08,2012-04-01 00:00:00,2012-06-30 00:00:00
"Winsley, Wayne Anthony",2012,CT-3,REP,OPEN,74.6,25.4,12292.0,12792.0,12992.0,8788.94,1545.84,5748.9,60755.21,2012-04-29 00:00:00,2012-06-30 00:00:00
"Brown, James E",2014,CT-3,REP,CHALLENGER,67.1,32.9,6355.0,6355.0,6355.0,3103.33,4969.08,8220.75,15346.0,2014-05-05 00:00:00,2014-06-30 00:00:00
"Delauro, Rosa L",2012,CT-3,DEM,INCUMBENT,74.6,25.4,80182.54,153234.39,153234.39,161919.48,101289.18,92604.09,1175607.54,2012-04-25 00:00:00,2012-06-30 00:00:00
"Delauro, Rosa L",2014,CT-3,DEM,INCUMBENT,67.1,32.9,57248.5,104558.5,104658.96,157139.14,152308.61,99828.43,1244886.07,2014-04-25 00:00:00,2014-06-30 00:00:00
"Debicella, Dan",2014,CT-4,REP,CHALLENGER,53.7,46.3,221229.0,242229.0,242229.0,248870.27,337299.89,330658.62,1292506.9,2014-04-27 00:00:00,2014-06-30 00:00:00
"Obsitnik, Stephen",2012,CT-4,REP,CHALLENGER,59.8,40.2,217669.04,221169.04,224367.04,85088.75,514962.47,654240.76,1723820.04,2012-04-29 00:00:00,2012-06-30 00:00:00
"Himes, Jim",2012,CT-4,DEM,INCUMBENT,59.8,40.2,276714.0,461827.98,462961.18,123613.87,1358372.2,1697719.51,3035222.27,2012-04-25 00:00:00,2012-06-30 00:00:00
"Himes, Jim",2014,CT-4,DEM,INCUMBENT,53.7,46.3,252081.0,410635.41,410681.34,147947.65,1420007.52,1682741.21,2654776.14,2014-04-25 00:00:00,2014-06-30 00:00:00
"Greenberg, Mark",2014,CT-5,REP,CHALLENGER,53.0,46.0,61784.0,74284.0,380022.0,137896.25,22166.63,264292.38,2049040.44,2014-04-27 00:00:00,2014-06-30 00:00:00
"Roraback, Andrew",2012,CT-5,REP,OPEN,51.5,48.5,111066.42,113666.42,113666.42,122331.85,267558.59,258893.16,1578507.74,2012-04-29 00:00:00,2012-06-30 00:00:00
"Esty, Elizabeth",2012,CT-5,DEM,OPEN,51.5,48.5,272103.62,274103.62,274281.97,170052.84,801074.79,905303.92,3326549.65,2012-04-25 00:00:00,2012-06-30 00:00:00
"Esty, Elizabeth",2014,CT-5,DEM,INCUMBENT,53.0,46.0,270047.27,391457.55,391487.6,103215.16,1192533.1,1480805.54,2952364.85,2014-04-25 00:00:00,2014-06-30 00:00:00
"Izzo, Rose",2014,DE-1,REP,CHALLENGER,59.3,36.8,1235.0,1535.0,1535.0,1210.61,1163.97,1488.36,21942.95,2014-04-01 00:00:00,2014-06-30 00:00:00
"Kovach, Thomas H",2012,DE-1,REP,CHALLENGER,64.4,33.4,32733.0,34008.0,34063.0,34350.34,30429.98,30142.64,212168.22,2012-04-01 00:00:00,2012-06-30 00:00:00
"Carney, John Charles Jr",2012,DE-1,DEM,INCUMBENT,64.4,33.4,135344.49,294413.34,294712.57,120524.45,585652.96,759841.08,1526892.72,2012-04-01 00:00:00,2012-06-30 00:00:00
"Carney, John",2014,DE-1,DEM,INCUMBENT,59.3,36.8,41553.74,182803.74,183059.35,63047.44,771533.4,891545.31,1165083.62,2014-04-01 00:00:00,2014-06-30 00:00:00
"Webster, Daniel",2012,FL-10,REP,INCUMBENT,48.2,51.8,132161.05,199443.96,202974.34,55420.78,390621.69,538175.25,1534724.86,2012-04-01 00:00:00,2012-06-30 00:00:00
"Demings, Valdez Val",2012,FL-10,DEM,CHALLENGER,48.2,51.8,171641.49,292503.86,292503.86,187618.48,482251.08,587136.46,1961473.62,2012-04-01 00:00:00,2012-06-30 00:00:00
"Koller, David C",2014,FL-11,DEM,CHALLENGER,33.3,66.7,3666.52,9290.16,20835.16,18831.92,3274.6,5277.84,74634.27,2014-04-01 00:00:00,2014-06-30 00:00:00
"Nugent, Richard B",2014,FL-11,REP,INCUMBENT,33.3,66.7,6790.0,29290.0,29317.6,32633.93,141586.26,138269.93,330970.5,2014-04-01 00:00:00,2014-06-30 00:00:00
"Snow, Jonathan Michael",2012,FL-12,DEM,CHALLENGER,32.9,63.5,3170.69,3170.69,3170.69,2633.64,583.76,1120.81,18606.54,2012-04-01 00:00:00,2012-06-30 00:00:00
"Bilirakis, Gus Michael",2012,FL-12,REP,INCUMBENT,32.9,63.5,42432.36,78182.36,78182.36,83620.11,438737.75,433300.0,758988.49,2012-04-01 00:00:00,2012-06-30 00:00:00
"Overby, Lucas",2014,FL-13,LPF,CHALLENGER,75.3,24.7,9683.55,10193.55,17193.55,17372.83,1395.26,1215.98,58403.48,2014-04-01 00:00:00,2014-06-30 00:00:00
"Jolly, David W.",2014,FL-13,REP,INCUMBENT,75.3,24.7,66940.0,266746.98,272607.1,95619.93,19746.98,196734.15,2082213.35,2014-04-01 00:00:00,2014-06-30 00:00:00
"Ehrlich, Jessica D",2012,FL-13,DEM,CHALLENGER,42.4,57.6,64835.05,86172.11,86172.11,91531.86,76781.57,71421.82,530794.21,2012-04-01 00:00:00,2012-06-30 00:00:00
"Young, C W Bill",2012,FL-13,REP,INCUMBENT,42.4,57.6,22705.0,75205.0,75226.38,76590.77,326602.36,325237.97,1040707.05,2012-04-01 00:00:00,2012-06-30 00:00:00
"Otero, Evelio",2012,FL-14,REP,CHALLENGER,70.3,29.7,42974.0,42974.0,42974.0,27165.62,26891.91,42700.29,180224.94,2012-04-01 00:00:00,2012-06-30 00:00:00
"Castor, Kathy",2012,FL-14,DEM,INCUMBENT,70.3,29.7,77379.0,157379.0,158104.23,93272.98,765458.82,830290.07,1020415.31,2012-04-01 00:00:00,2012-06-30 00:00:00
"Cohn, Alan Michael",2014,FL-15,DEM,CHALLENGER,39.7,60.3,68497.57,79497.57,79497.57,73534.58,70300.85,76263.84,444540.77,2014-04-01 00:00:00,2014-06-30 00:00:00
"Ross, Dennis Alan",2014,FL-15,REP,INCUMBENT,39.7,60.3,55258.75,227008.75,227008.75,138124.76,425163.14,514047.13,1298800.35,2014-04-01 00:00:00,2014-06-30 00:00:00
"Fitzgerald, Keith",2012,FL-16,DEM,CHALLENGER,46.4,53.6,296433.37,381215.31,381215.31,152570.12,422360.15,651005.34,1447610.84,2012-04-01 00:00:00,2012-06-30 00:00:00
"Buchanan, Vernon",2012,FL-16,REP,INCUMBENT,46.4,53.6,195093.78,333936.8,335458.83,287984.22,1473198.62,1520673.23,2730570.15,2012-04-01 00:00:00,2012-06-30 00:00:00
"Domino, Carl J",2014,FL-18,REP,CHALLENGER,59.8,40.2,27804.0,27804.0,27804.0,126170.06,387672.4,289306.34,1500856.1,2014-04-01 00:00:00,2014-06-30 00:00:00
"Murphy, Patrick",2012,FL-18,DEM,CHALLENGER,50.3,49.7,378703.53,507197.69,508659.0,263213.09,1042442.08,1287887.99,4752053.86,2012-04-01 00:00:00,2012-06-30 00:00:00
"Murphy, Patrick",2014,FL-18,DEM,INCUMBENT,59.8,40.2,477036.59,759060.87,759060.87,318482.14,2230296.13,2670874.86,5189800.95,2014-04-01 00:00:00,2014-06-30 00:00:00
"West, Allen B Mr.",2012,FL-18,REP,INCUMBENT,50.3,49.7,2220974.83,2276916.63,2306432.04,1913841.56,3334632.29,3727222.77,19359330.67,2012-04-01 00:00:00,2012-06-30 00:00:00
"Roach, James Lloyd",2012,FL-19,DEM,OPEN,35.8,62.0,14147.96,16647.96,16658.45,14511.62,3446.87,5593.7,86285.54,2012-04-01 00:00:00,2012-06-30 00:00:00
"Radel, Henry J. Iii",2012,FL-19,REP,OPEN,35.8,62.0,115636.82,123636.82,123636.82,110394.78,265987.92,279229.96,1068123.35,2012-04-01 00:00:00,2012-06-30 00:00:00
"Lawson, Alfred J Jr",2012,FL-2,DEM,CHALLENGER,47.3,52.7,94031.51,109031.51,109231.51,64272.97,71621.41,116579.95,751999.93,2012-04-01 00:00:00,2012-06-30 00:00:00
"Southerland, William Steve Ii",2012,FL-2,REP,INCUMBENT,47.3,52.7,244583.71,356833.71,367543.66,127480.4,496485.45,736548.71,1823957.33,2012-04-01 00:00:00,2012-06-30 00:00:00
"Southerland, William Steve Ii",2014,FL-2,REP,INCUMBENT,50.4,49.6,189674.94,421345.31,431405.79,220131.2,1183474.23,1394748.82,2941798.27,2014-04-01 00:00:00,2014-06-30 00:00:00
"Graham, Gwen",2014,FL-2,DEM,CHALLENGER,50.4,49.6,435499.85,563409.04,563575.83,403337.09,1414282.06,1574520.8,3695748.95,2014-04-01 00:00:00,2014-06-30 00:00:00
"Frankel, Lois J.",2014,FL-22,DEM,INCUMBENT,58.0,42.0,77012.15,134012.15,134012.45,141624.64,346716.04,339103.85,1383775.21,2014-04-01 00:00:00,2014-06-30 00:00:00
"Hasner, Adam",2012,FL-22,REP,CHALLENGER,54.6,45.4,508585.99,558935.99,558935.99,200553.79,654514.36,1012896.56,3374760.95,2012-04-01 00:00:00,2012-06-30 00:00:00
"Frankel, Lois J.",2012,FL-22,DEM,CHALLENGER,54.6,45.4,294372.78,359887.41,410656.41,320489.68,1272628.54,1362795.27,3533915.3,2012-04-01 00:00:00,2012-06-30 00:00:00
"Spain, Paul Douglas",2014,FL-22,REP,CHALLENGER,58.0,42.0,1701.0,1701.0,42201.0,30391.06,0.0,11809.94,145367.0,2014-04-01 00:00:00,2014-06-30 00:00:00
"Harrington, Karen",2012,FL-23,REP,CHALLENGER,63.2,35.6,206675.47,208675.47,208675.47,188924.41,106684.2,126435.26,2057971.22,2012-04-01 00:00:00,2012-06-30 00:00:00
"Kaufman, Joe",2014,FL-23,REP,CHALLENGER,62.6,37.4,157585.12,157585.12,170585.12,124835.18,135778.96,181528.9,883927.97,2014-04-01 00:00:00,2014-06-30 00:00:00
"Wasserman Schultz, Debbie",2014,FL-23,DEM,INCUMBENT,62.6,37.4,301428.44,301428.44,350793.71,332275.09,556990.49,575509.11,2585591.55,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schultz, Debbie Wasserman",2012,FL-23,DEM,INCUMBENT,63.2,35.6,638621.88,640621.88,641621.73,312903.29,1725620.88,2054339.32,3629324.39,2012-04-01 00:00:00,2012-06-30 00:00:00
"Rivera, David",2012,FL-26,REP,CHALLENGER,53.6,43.0,63450.0,92700.0,92700.5,57529.67,178477.32,213648.15,609503.18,2012-04-01 00:00:00,2012-06-30 00:00:00
"Curbelo, Carlos Mr.",2014,FL-26,REP,CHALLENGER,48.5,51.5,198352.0,306213.39,306213.39,214714.96,792530.05,884028.48,2367913.67,2014-04-01 00:00:00,2014-06-30 00:00:00
"Garcia, Joe",2014,FL-26,DEM,INCUMBENT,48.5,51.5,338176.03,455679.54,455679.54,243815.78,1650649.37,1862513.13,3765189.51,2014-04-01 00:00:00,2014-06-30 00:00:00
"Garcia, Joe",2012,FL-26,DEM,CHALLENGER,53.6,43.0,228194.12,250194.12,250194.12,55661.57,0.0,194532.55,1395067.73,2012-04-01 00:00:00,2012-06-30 00:00:00
"Wheeler, Marihelen Haddock",2014,FL-3,DEM,CHALLENGER,32.3,65.0,20969.12,23281.31,23281.31,21975.19,6257.22,7563.34,80881.66,2014-04-01 00:00:00,2014-06-30 00:00:00
"Yoho, Theodore Scott",2014,FL-3,REP,INCUMBENT,32.3,65.0,129625.85,163875.85,174570.49,79216.22,360451.22,455805.49,810245.82,2014-04-01 00:00:00,2014-06-30 00:00:00
"Kolb, Euna Leanne",2012,FL-5,REP,CHALLENGER,70.8,26.3,1001.0,1001.0,1001.0,3325.26,4884.04,2559.78,19941.0,2012-04-01 00:00:00,2012-06-30 00:00:00
"Scurry-Smith, Gloreatha",2014,FL-5,REP,CHALLENGER,65.5,34.5,20169.0,30169.0,30254.6,32300.89,7098.38,5052.09,135796.29,2014-04-01 00:00:00,2014-06-30 00:00:00
"Brown, Corrine",2014,FL-5,DEM,INCUMBENT,65.5,34.5,39150.0,78150.0,78740.0,75281.2,36114.03,39572.83,598417.33,2014-04-01 00:00:00,2014-06-30 00:00:00
"Brown, Corrine",2012,FL-5,DEM,INCUMBENT,70.8,26.3,21260.0,77260.0,77260.0,60893.46,50939.41,67305.95,615071.75,2012-04-01 00:00:00,2012-06-30 00:00:00
